Mes,FALLECIDOS,AÑO,,
Enero,176,2016,,
Febrero,153,2016,,
Marzo,192,2016,,
Abril,157,2016,,
Mayo,167,2016,,
Junio,205,2016,,
Julio,196,2016,,
Agosto,148,2016,,
Septiembre,135,2016,,
Octubre,167,2016,,
Noviembre,134,2016,,
Diciembre,163,2016,,
Enero,143,2017,,
Febrero,127,2017,,
Marzo,122,2017,,
Abril,129,2017,,
Mayo,118,2017,,
Junio,136,2017,,
Julio,156,2017,,
Agosto,132,2017,,
Septiembre,137,2017,,
Octubre,138,2017,,
Noviembre,113,2017,,
Diciembre,137,2017,,
Enero,98,2018,,
Febrero,113,2018,,
Marzo,131,2018,,
Abril,114,2018,,
Mayo,127,2018,,
Junio,78,2018,,
Julio,125,2018,,
Agosto,82,2018,,
Septiembre,87,2018,,
Octubre,132,2018,,
Noviembre,153,2018,,
Diciembre,187,2018,,
Enero,145,2019,,
Febrero,160,2019,,
Marzo,196,2019,,
Abril,173,2019,,
Mayo,164,2019,,
Junio,165,2019,,
Julio,197,2019,,
Agosto,166,2019,,
Septiembre,174,2019,,
Octubre,194,2019,,
Noviembre,194,2019,,
Diciembre,167,2019,,
